symbol,atomic_radius_A,vdw_radius_A,ionic_radius_A,color_hex
H,0.46,1.20,0.200,#ffcccc
D,0.46,1.20,0.200,#ccccff
He,1.22,1.40,1.220,#fce9cf
Li,1.57,1.40,0.590,#86e074
Be,1.12,1.40,0.270,#5fd87b
B,0.81,1.40,0.110,#20a20f
C,0.77,1.70,0.150,#814929
N,0.74,1.55,1.460,#b0bae6
O,0.74,1.52,1.400,#ff0300
F,0.72,1.47,1.330,#b0bae6
Ne,1.60,1.54,1.600,#ff38b5
Na,1.91,1.54,1.020,#fadd3d
Mg,1.60,1.54,0.720,#fc7c16
Al,1.43,1.54,0.390,#81b3d6
Si,1.18,2.10,0.260,#1b3bfa
P,1.10,1.80,0.170,#c19cc3
S,1.04,1.80,1.840,#fffa00
Cl,0.99,1.75,1.810,#32fc03
Ar,1.92,1.88,1.920,#cffec5
K,2.35,1.88,1.510,#a122f7
Ca,1.97,1.88,1.120,#5b96be
Sc,1.64,1.88,0.745,#b663ac
Ti,1.47,1.88,0.605,#78caff
V,1.35,1.88,0.580,#e61a00
Cr,1.29,1.88,0.615,#00009e
Mn,1.37,1.88,0.830,#a9099e
Fe,1.26,1.88,0.780,#b57200
Co,1.25,1.88,0.745,#0000af
Ni,1.25,1.88,0.690,#b8bcbe
Cu,1.28,1.88,0.730,#2247dd
Zn,1.37,1.88,0.740,#8f9082
Ga,1.53,1.88,0.620,#9fe474
Ge,1.22,1.88,0.530,#7e6fa6
As,1.21,1.85,0.335,#75d057
Se,1.04,1.90,1.980,#9aef10
Br,1.14,1.85,1.960,#7f3103
Kr,1.98,2.02,1.980,#fac1f3
Rb,2.50,2.02,1.610,#ff0099
Sr,2.15,2.02,1.260,#00ff27
Y,1.82,2.02,1.019,#67988e
Zr,1.60,2.02,0.720,#00ff00
Nb,1.47,2.02,0.640,#4cb376
Mo,1.40,2.02,0.590,#b486b0
Tc,1.35,2.02,0.560,#cdafcb
Ru,1.34,2.02,0.620,#cfb8ae
Rh,1.34,2.02,0.665,#ced2ab
Pd,1.37,2.02,0.860,#c2c4b9
Ag,1.44,2.02,1.150,#b8bcbe
Cd,1.52,2.02,0.950,#f31fdc
In,1.67,2.02,0.800,#d781bb
Sn,1.58,2.02,0.690,#9b8fba
Sb,1.41,2.00,0.760,#d88350
Te,1.37,2.06,2.210,#ada252
I,1.33,1.98,2.200,#8f1f8b
Xe,2.18,2.16,0.480,#9ba1f8
Cs,2.72,2.16,1.740,#0fffb9
Ba,2.24,2.16,1.420,#1ef02d
La,1.88,2.16,1.160,#5ac449
Ce,1.82,2.16,0.970,#d1fd06
Pr,1.82,2.16,1.126,#fde206
Nd,1.82,2.16,1.109,#fc8e07
Pm,1.81,2.16,1.093,#0000f5
Sm,1.81,2.16,1.270,#fd067d
Eu,2.06,2.16,1.066,#fb08d5
Gd,1.79,2.16,1.053,#c004ff
Tb,1.77,2.16,1.040,#7104fe
Dy,1.77,2.16,1.027,#3106fd
Ho,1.76,2.16,1.015,#0742fb
Er,1.75,2.16,1.004,#49733b
Tm,1.00,2.16,0.994,#0000e0
Yb,1.94,2.16,0.985,#27fdf4
Lu,1.72,2.16,0.977,#26fdb5
Hf,1.59,2.16,0.710,#b4b459
Ta,1.47,2.16,0.640,#b79b56
W,1.41,2.16,0.600,#8e8a80
Re,1.37,2.16,0.530,#b3b18e
Os,1.35,2.16,0.630,#c9b179
Ir,1.36,2.16,0.625,#c9cf73
Pt,1.39,2.16,0.625,#ccc6bf
Au,1.44,2.16,1.370,#feb338
Hg,1.55,2.16,1.020,#d3b8cc
Tl,1.71,2.16,0.885,#96896d
Pb,1.75,2.16,1.190,#53535b
Bi,1.82,2.16,1.030,#d230f8
Po,1.77,2.16,0.940,#0000ff
At,0.62,2.16,0.620,#0000ff
Rn,0.80,2.16,0.800,#ffff00
Fr,1.00,2.16,1.800,#000000
Ra,2.35,2.16,1.480,#6eaa59
Ac,2.03,2.16,1.120,#649e73
Th,1.80,2.16,1.050,#26fe78
Pa,1.63,2.16,0.780,#29fb35
U,1.56,2.16,0.730,#7aa2aa
Np,1.56,2.16,0.750,#4d4d4d
Pu,1.64,2.16,0.860,#4d4d4d
Am,1.73,2.16,0.975,#4d4d4d
XX,0.80,1.00,0.800,#4d4d4d
